timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,19.632500868195013,120.60421004658498,71.32408700596316,140.11602645020668
10,78.13080661772355,272.60309200179177,61.79288671672654,279.51888418803395
20,100.90251875322966,311.71178892829033,61.14147034832034,317.6515681579892
30,140.4907420378971,369.98191821648294,60.03434209474437,374.82094663705374
40,285.13980423372254,530.497684987152,60.92627066377184,533.9848352095054
50,505.14850158668554,708.1659856842386,60.4105810810946,710.7379978491973
60,811.2389920721741,898.4923305114675,62.853194701985984,900.68806590971
70,881.2214146916646,936.2244918803784,68.59384443950417,938.7339424414483
80,895.1158463733913,943.0459394238034,76.02764306268413,946.1056211509322
90,800.9922219284308,891.9276923010713,73.87295604561344,894.9816880408397
100,900.2260573918801,945.8999439678976,74.15762532207432,948.8024332767492
110,1084.783195150763,1039.2658648557422,68.62694293358709,1041.529257942744
120,1479.2898402629955,1214.1041835954268,72.39386465078599,1216.260597184253
130,2089.246248015562,1443.6127298204897,72.30860471476853,1445.422515396644
140,11318.462786529173,3363.773639522404,59.07358617323472,3364.292315856215
150,2.844265461368109e+17,15837773270.686007,5795816073.958379,16864950226.3366
160,3.34382460747298e+36,4.714455887784477e+19,3.348455129886625e+19,5.782581263997057e+19
170,3.017574879835057e+57,1.6551909502864588e+30,5.271790947342943e+29,1.7371168296447585e+30
180,3.758558705364041e+80,5.988734695339482e+41,1.311733129290233e+41,6.130708527865308e+41
190,3.140610942443165e+104,5.571766106204263e+53,6.01275213346647e+52,5.604115400706132e+53
200,1.6159147684697947e+129,1.24967611827159e+66,2.3286126318356404e+65,1.2711863626037664e+66
210,2.2106565134016863e+155,1.4778936516298997e+79,1.6274786595752306e+78,1.4868276676877136e+79
220,1.4014395526363825e+183,1.1624708872352305e+93,2.2383250203426463e+92,1.1838241223409763e+93
230,1.0150762449226055e+212,3.1563061094929763e+107,4.3415917864691576e+106,3.1860261218681266e+107
240,1.9239335056868758e+241,1.365037976692598e+122,2.461804782549842e+121,1.3870593014312242e+122
250,8.082131219106491e+269,2.8091770670749964e+136,4.366410710485345e+135,2.842908936126251e+136
260,7.553358328903649e+297,2.6901780283263067e+150,5.624059964243283e+149,2.7483373753787305e+150
270,,,,
280,,,,
290,,,,
300,,,,
