timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,136.89238472708058,37.43603671174417,10.215644243748342,38.80484804760722
10,26.360708631451622,15.348489487537217,7.37507053504761,17.02844076672811
20,7.200927243313837,7.4480370909364275,4.872057385590553,8.900011217771144
30,2.2207371270144978,3.915574876936276,3.016020852093855,4.942479984497608
40,1.0018111804751424,1.9126196745935065,2.713265369547254,3.3196269346459046
50,0.9603743919080201,1.653115494377205,2.7984509059903533,3.2502489613856076
60,0.8114996586758276,0.9917501158835808,2.818320058665979,2.9877242586012023
70,0.7716302367706006,0.6804625677864072,2.83282602683577,2.913405671113552
80,0.6805128849673827,0.6425137905741152,2.659476971805413,2.735990083067044
90,0.5876926398907024,0.5856140642794082,2.474201933253606,2.5425615113105375
100,0.6735228181385251,0.3195062825376986,2.70308467032439,2.7219020922001906
110,0.8065835890622186,0.49293371577876666,2.9375901401545015,2.9786606855572533
120,0.5717507372512401,0.11249039152359022,2.505315154142989,2.5078393309308398
130,0.8186406220450451,0.019785357606195503,3.0007757967098923,3.0008410225294333
140,0.6687898895157215,0.03964925927181824,2.7120318436390334,2.712321659514766
150,0.6415186331100198,0.050606484659366326,2.655963845371514,2.656445927213693
160,0.6816987005934131,0.3744198944870633,2.7126546866749996,2.738372820951805
170,0.7934238203170356,0.23985101276071227,2.9445090448434783,2.9542616714650367
180,0.5667096026357064,0.30356072961078523,2.478236573136418,2.496759025014783
190,0.6209753620393729,0.28115205086045003,2.5983999897494736,2.6135663340411126
200,0.7204223249398726,0.14205023147404913,2.8114884502833664,2.8150747013780286
210,0.5356880698785329,0.20066116772180978,2.4191535429634023,2.4274613835577
220,0.6604745864900605,0.3818083746756239,2.668228404094789,2.695407288591219
230,0.7109683259557088,0.3104134902633406,2.77926160168044,2.796542791647
240,0.7158918048775711,0.04843367452672205,2.80579115987365,2.8062091607101
250,0.5833284606178847,0.32937250347278363,2.5115984592989387,2.5331034457354344
260,0.6112826852539124,0.10629350355524661,2.5909093440132143,2.5930888025274097
270,0.6013657068224033,0.26566763867618304,2.558210992237868,2.5719686574774654
280,0.9588176584414834,0.8808130983662475,3.125885879011383,3.2476136227784727
290,0.7657470079053813,1.0026791257479408,2.7235733252013867,2.902277913460252
300,0.9062486987782626,1.1916681095000328,2.9238096387011088,3.1573304683800347
