timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,0.10569151277286272,0.33368619235035235,10.27522098535586,10.28063776099823
10,0.06570155917049414,2.072405586471353,7.836242355597258,8.105649830241505
20,0.062101331150817396,1.739452812913462,7.686067594190468,7.880439781561521
30,0.05771436351049732,0.632991651533188,7.570580234010245,7.596997006087163
40,0.05517722023178365,0.776679936287012,7.387420964609561,7.428137063341228
50,0.05705601867237276,1.5159469421152856,7.3998596973904895,7.553543451412241
60,0.0581480444381171,1.7214120338358714,7.42864624597794,7.625486505011802
70,0.05815858279064477,1.3355207395301727,7.508326520931915,7.626177469128605
80,0.05551070839076372,1.3024809495810294,7.335819774690639,7.4505508783420655
90,0.05533208205126871,0.6799250071186338,7.407414126128188,7.438553760729884
100,0.05665275942559986,1.5889020257960795,7.357183549295271,7.526802735929769
110,0.05728034895985848,1.5172230071602402,7.414740946681961,7.568378225211692
120,0.05778756732428481,1.9166534308708765,7.356222328764657,7.601813423406602
130,0.05639115649634887,1.800662131412696,7.290320458309438,7.509404536735843
140,0.05580608700695123,1.1319038694284336,7.384096467227671,7.470347181152374
150,0.057074096023566265,1.2158887394665296,7.456253120489187,7.554739970612243
160,0.057443035534130306,1.4412032339666299,7.440831188283634,7.57911838765765
170,0.059398756976919216,1.3909850529595986,7.580495865005283,7.707058905764197
180,0.054425238132457754,1.0326799089702068,7.304711516416445,7.377346279825677
190,0.05487534629773044,1.3921885481216552,7.275792557804913,7.407789568942307
200,0.05554577100043023,1.2785194123479855,7.3424218833215775,7.452903528184853
210,0.05777170654736605,1.6511027553530935,7.419269926254973,7.600770128570265
220,0.05491573750916979,1.188900176329901,7.314523489598794,7.410515333576322
230,0.05561736616916267,0.6020511282685832,7.433364016924854,7.457705154346253
240,0.058811737338231966,0.7884478763684072,7.628242738959094,7.668881100801601
250,0.06134319582617796,1.475880920920251,7.691876970768679,7.832189721028083
260,0.056080412162774144,0.5516488003306385,7.468339558688258,7.488685609823271
270,0.0589915280936078,1.1786195934363308,7.589623439115789,7.680594253936853
280,0.05746071325078448,1.4034140764750056,7.449237691249776,7.580284509883813
290,0.05728644916328931,1.478760845331962,7.422918262085498,7.568781220466694
300,0.05513715629748397,0.8570950892176671,7.3758080442432155,7.4254398049869055
