timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,40.60317933150067,70.28638260197908,3.662280597018147,70.38172972045432
10,212.30032954390438,33.91999733325968,157.32156236596427,160.9367584001751
20,1785.3967212514706,67.12857176535879,461.8572883969922,466.71018843890624
30,10527.078036271649,117.36605077610467,1127.1773287954127,1133.2711592664577
40,500039.28367712424,355.74698845498955,7802.450684805021,7810.556485207002
50,2690244.656620094,2000.889942416643,18005.729297809277,18116.562811627693
60,33876574.16482412,3272.511905799177,64204.6159861964,64287.96192218682
70,464805054.9471104,19325.830625816805,237345.16842390053,238130.67148846548
80,19052596373.69249,125684.26329637259,1519414.4344286495,1524603.8034815744
90,11308449574450.11,3379908.756660075,36989283.10848381,37143382.29190919
100,66978483771131.63,8160013.342509443,90026602.74789962,90395658.19262592
110,397105938730607.25,19388330.50541295,219251036.86264965,220106620.8116741
120,1.3913191080176744e+16,118973007.87776117,1297403073.5195906,1302846618.6706564
130,8.240587282651333e+16,293327611.0013874,3157130880.634955,3170728068.572678
140,1.188832719760934e+18,1048532128.5694523,11997423564.507156,12043155392.621733
150,3.0088542272399647e+18,1260383309.6412191,19117835903.575836,19159337559.61504
160,8.922351081884403e+18,1531393378.0863254,32957270310.379932,32992830008.804897
170,3.0270267985101004e+21,40893675484.34989,606320852951.3174,607698337514.7839
180,3.834572183211727e+22,9029266361.503334,2162890782232.7231,2162909629068.7476
190,5.193673642855755e+24,2493101532372.2686,25048206106978.7,25171972199817.836
200,1.812887314205351e+26,12708641666211.994,148174612063960.22,148718610917750.6
210,7.646947419666294e+27,105768843454455.05,960073193539739.9,965881765641782.8
220,1.0445204964488243e+31,3282335220682864.0,3.5546325846233816e+16,3.5697549014849264e+16
230,1.04801334458227e+31,3037874806120455.5,3.5627904752492932e+16,3.5757185017704756e+16
240,9.005453760265564e+32,3.288689184852256e+16,3.298256936925678e+17,3.314612132289989e+17
250,1.0551983425708364e+35,2.4395084517010515e+17,3.579651905493744e+18,3.587954818467507e+18
260,1.520833570647226e+36,9.261304070631794e+17,1.3589848346765113e+19,1.362136908019754e+19
270,5.085960326027539e+37,7.548931615577378e+18,7.840845126143569e+19,7.877100734250893e+19
280,1.259900081319294e+38,1.2738405457857149e+19,1.2332280413000116e+20,1.2397895382723386e+20
290,2.1047707606022097e+41,4.525343337060669e+20,5.047119570226583e+21,5.067366503357238e+21
300,2.1984855692939488e+41,3.6172988041839785e+20,5.166301911328708e+21,5.178950081376164e+21
