timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,10.37559249752249,35.40695909972394,3.488485632508775,35.57839631992628
10,645293.6653235465,661.1174701509461,8848.093063487404,8872.757585411238
20,293469116524.63226,423547.45223899785,5968570.999134298,5983580.2172282385
30,7157438360083093.0,70404473.01707363,931799704.930907,934455713.1989388
40,3.24696468237536e+17,441353346.0217809,6278389630.22643,6293883469.28821
50,9.473599719213839e+19,6280118008.2393675,107323584431.58461,107507170260.5965
60,6.247168109061329e+23,182425534486.7139,8728239905898.292,8730146100183.444
70,4.161491964506127e+27,69669226833034.67,709117915795557.0,712532118342568.1
80,7.340590363588855e+28,295524101294604.3,2977949923879248.0,2992577525074063.0
90,5.993573268777652e+33,8.942464529422528e+16,8.504229368995615e+17,8.551116528213573e+17
100,6.067221613843209e+37,7.342396749999212e+18,8.572105679968208e+19,8.603493690872745e+19
110,1.753690091239595e+40,1.3192705157837482e+20,1.4567419690439824e+21,1.4627036307168672e+21
120,4.293644530240485e+44,2.020614399075385e+22,2.2797845295983304e+23,2.288721548571034e+23
130,1.0804757344690526e+46,1.803989464293185e+22,1.147978640155606e+24,1.1481203752447928e+24
140,3.213068326019683e+50,2.2845576960298753e+25,1.966659939867368e+26,1.9798846829409063e+26
150,1.571454591979639e+54,1.600617931921845e+27,1.3753380764652963e+28,1.3846207430972422e+28
160,1.969756155134371e+60,1.4323592860371728e+30,1.5435627548049232e+31,1.55019434564313e+31
170,8.527272259329774e+68,2.9201613789291036e+34,3.212164181917299e+35,3.2254103857311437e+35
180,1.2358008906825388e+72,1.1116678567338318e+36,1.2228323811527668e+37,1.227875028914872e+37
190,3.0400540873504635e+76,1.7435747374589373e+38,1.917932599941019e+39,1.9258416307078747e+39
200,5.160309410327441e+77,7.183475057910538e+38,7.901882792532332e+39,7.934467518743446e+39
210,4.405752490658603e+79,6.63112885487705e+39,7.301401350914434e+40,7.331451451522744e+40
220,4.405819014319684e+79,6.664474144839064e+39,7.301153321114949e+40,7.331506801108497e+40
230,7.513062274446035e+80,2.9194353370842946e+40,3.0134208049905667e+41,3.0275296819063826e+41
240,7.513062274446634e+80,2.9194342838088614e+40,3.013420815194935e+41,3.0275296819065033e+41
250,5.024537903234663e+83,9.998855360888096e+41,7.765281149719137e+42,7.829390935408889e+42
260,2.4574201941246876e+87,6.992754466929235e+43,5.430611403697894e+44,5.475447595249286e+44
270,3.483084881068393e+91,5.3249358333723584e+45,6.496928977042854e+46,6.518714255820268e+46
280,1.0417631614143079e+94,3.2132835576808396e+46,1.1269066233735827e+48,1.1273646512665969e+48
290,1.5055205893387083e+97,2.998590919912709e+48,4.275211774272987e+49,4.285714781682542e+49
300,5.078356360833585e+99,3.405344936760869e+49,7.863840274368907e+50,7.871210046884133e+50
