Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
66,:,1612291648.622,4.783,0,222,0,0,4173556719,0.0625,25,0.95
76,:,1612291648.966,4.46,0,222,0,0,3390822559,0.015625,5,0.8
78,:,1612291648.993,4.44,0,222,0,0,4047805392,0.125,1,0.9
82,:,1612291649.041,4.406,0,222,0,0,2182315642,0.5,1,0.8
77,:,1612291648.981,4.473,0,222,0,0,1111384852,0.25,5,0.95
75,:,1612291648.937,4.526,0,222,0,0,3602412539,0.125,5,0.95
81,:,1612291649.024,4.447,0,222,0,0,1395720285,0.015625,5,0.8
85,:,1612291649.087,4.392,0,222,0,0,4047805392,0.03125,1,0.95
71,:,1612291648.722,4.829,0,222,0,0,3543305936,0.125,25,0.9
80,:,1612291649.015,4.544,0,222,0,0,240309497,0.0625,5,0.8
83,:,1612291649.052,4.53,0,222,0,0,2034693659,0.0625,5,0.8
84,:,1612291649.062,4.529,0,222,0,0,3543305936,0.0625,5,0.9
86,:,1612291649.144,4.47,0,222,0,0,733348321,0.25,5,0.9
87,:,1612291649.156,4.474,0,222,0,0,4173556719,0.25,5,0.95
88,:,1612291649.166,4.484,0,222,0,0,2289609983,0.015625,5,0.95
89,:,1612291649.212,4.448,0,222,0,0,1111384852,0.015625,5,0.95
74,:,1612291648.927,4.746,0,222,0,0,1395720285,0.03125,25,0.8
92,:,1612291649.256,4.44,0,222,0,0,384799037,0.03125,1,0.8
94,:,1612291649.311,4.41,0,222,0,0,4047805392,0.5,5,0.8
79,:,1612291649.004,4.746,0,222,0,0,2390141961,0.0625,25,0.8
91,:,1612291649.242,4.543,0,222,0,0,1395720285,0.5,1,0.8
95,:,1612291649.433,4.485,0,222,0,0,384799037,0.5,5,0.8
90,:,1612291649.235,4.712,0,222,0,0,384799037,0.03125,25,0.95
93,:,1612291649.289,4.67,0,222,0,0,107577988,0.03125,25,0.8
96,:,1612291649.45,4.691,0,222,0,0,1111384852,0.0625,25,0.8
99,:,1612291653.078,4.312,0,222,0,0,4047805392,0.0625,1,0.9
100,:,1612291653.149,4.335,0,223,0,0,90715284,0.0625,1,0.8
102,:,1612291653.277,4.215,0,223,0,0,240309497,0.125,1,0.8
101,:,1612291653.178,4.441,0,223,0,0,384799037,0.25,5,0.9
97,:,1612291652.9,4.736,0,222,0,0,733348321,0.03125,25,0.95
98,:,1612291653.044,4.702,0,222,0,0,4047805392,0.25,25,0.95
