Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
86,:,1612262357.218,32.117,0,228,0,0,1953635580,0.25,5,0.9
83,:,1612262348.526,41.361,0,228,0,0,1111384852,0.25,25,0.9
88,:,1612262360.02,31.456,0,228,0,0,3602412539,1,5,0.95
85,:,1612262354.255,39.633,0,228,0,0,107577988,2,25,0.8
90,:,1612262363.761,31.552,0,228,0,0,1953635580,0.125,1,0.95
91,:,1612262365.644,30.055,0,228,0,0,2390141961,0.25,1,0.95
92,:,1612262366.112,29.733,0,228,0,0,1395720285,1,5,0.9
89,:,1612262363.007,40.11,0,228,0,0,991818103,1,25,0.95
93,:,1612262367.006,40.368,0,228,0,0,1501843923,0.125,25,0.95
94,:,1612262368.638,41.371,0,228,0,0,3390822559,0.125,25,0.95
97,:,1612262378.362,31.89,0,228,0,0,240309497,1,1,0.8
95,:,1612262371.142,40.766,0,228,0,0,4017802264,0.5,25,0.95
96,:,1612262372.502,41.692,0,228,0,0,2289609983,0.5,25,0.95
99,:,1612262387.38,30.034,0,228,0,0,4017802264,2,1,0.95
101,:,1612262389.337,29.027,0,229,0,0,4047805392,0.125,5,0.8
100,:,1612262388.778,32.267,0,229,0,0,4017802264,2,5,0.8
103,:,1612262391.477,30.095,0,229,0,0,4017802264,0.5,1,0.95
102,:,1612262389.89,32.434,0,229,0,0,2390141961,2,5,0.8
98,:,1612262381.639,41.212,0,228,0,0,2289609983,0.125,25,0.95
106,:,1612262395.702,30.077,0,229,0,0,991818103,0.125,5,0.95
108,:,1612262403.119,31.998,0,229,0,0,2182315642,2,5,0.9
104,:,1612262393.891,41.387,0,229,0,0,107577988,2,25,0.9
105,:,1612262395.315,40.869,0,229,0,0,240309497,2,25,0.95
107,:,1612262395.847,41.374,0,229,0,0,1111384852,0.5,25,0.9
109,:,1612262407.376,29.921,0,229,0,0,3543305936,2,1,0.95
110,:,1612262410.011,31.223,0,229,0,0,1501843923,0.125,5,0.9
111,:,1612262410.254,31.266,0,229,0,0,3390822559,1,5,0.95
113,:,1612262414.197,29.76,0,229,0,0,1111384852,2,1,0.9
115,:,1612262418.366,29.046,0,229,0,0,2390141961,2,1,0.95
114,:,1612262417.417,31.007,0,229,0,0,3543305936,0.125,5,0.8
112,:,1612262411.911,40.624,0,229,0,0,4017802264,0.125,25,0.9
120,:,1612262425.781,28.978,0,229,0,0,3390822559,2,1,0.8
118,:,1612262422.327,33.492,0,229,0,0,2182315642,0.125,1,0.9
116,:,1612262421.048,39.138,0,229,0,0,991818103,0.25,25,0.9
119,:,1612262422.853,38.847,0,229,0,0,4047805392,0.125,25,0.8
117,:,1612262421.574,40.588,0,229,0,0,4173556719,0.125,25,0.9
123,:,1612262436.187,30.509,0,229,0,0,107577988,0.5,1,0.95
125,:,1612262437.299,31.195,0,229,0,0,2390141961,2,5,0.9
124,:,1612262437.223,32.715,0,229,0,0,4017802264,1,5,0.95
127,:,1612262441.522,29.685,0,229,0,0,4173556719,0.25,1,0.9
128,:,1612262443.96,29.494,0,229,0,0,1501843923,0.5,1,0.8
126,:,1612262441.236,33.457,0,229,0,0,1953635580,0.25,1,0.9
121,:,1612262435.12,40.122,0,229,0,0,4017802264,0.25,25,0.8
122,:,1612262435.28,40.865,0,229,0,0,4017802264,0.25,25,0.95
131,:,1612262452.536,32.526,0,229,0,0,3543305936,0.25,5,0.95
129,:,1612262447.414,39.217,0,229,0,0,2390141961,0.25,25,0.8
130,:,1612262448.427,42.47,0,229,0,0,2289609983,0.5,25,0.9
134,:,1612262460.188,31.463,0,229,0,0,240309497,0.5,1,0.8
136,:,1612262462.164,29.717,0,229,0,0,733348321,0.5,5,0.8
132,:,1612262454.761,39.772,0,229,0,0,2289609983,2,25,0.8
135,:,1612262461.702,33.007,0,229,0,0,1953635580,0.25,5,0.95
133,:,1612262455.821,40.227,0,229,0,0,2034693659,1,25,0.8
138,:,1612262468.496,32.014,0,229,0,0,4017802264,0.25,5,0.95
140,:,1612262471.21,30.97,0,229,0,0,2390141961,0.125,5,0.8
139,:,1612262469.941,32.43,0,229,0,0,2289609983,0.125,5,0.95
144,:,1612262476.148,28.776,0,229,0,0,1395720285,1,1,0.95
143,:,1612262475.244,30.273,0,229,0,0,2289609983,0.25,1,0.9
137,:,1612262466.699,39.79,0,229,0,0,90715284,0.25,25,0.8
142,:,1612262474.696,39.838,0,229,0,0,3390822559,0.125,25,0.9
141,:,1612262473.457,41.19,0,229,0,0,3602412539,0.125,25,0.95
145,:,1612262485.065,31.53,0,229,0,0,2289609983,0.125,5,0.9
146,:,1612262486.633,33.274,0,229,0,0,2182315642,0.25,5,0.95
148,:,1612262491.653,31.063,0,229,0,0,1953635580,0.5,1,0.8
151,:,1612262494.711,30.624,0,229,0,0,991818103,2,5,0.9
147,:,1612262490.9,40.37,0,229,0,0,2390141961,0.25,25,0.9
149,:,1612262491.884,39.677,0,229,0,0,1395720285,0.5,25,0.9
154,:,1612262502.183,32.115,0,229,0,0,240309497,0.125,5,0.8
150,:,1612262494.535,41.35,0,229,0,0,3543305936,0.125,25,0.9
157,:,1612262505.52,30.678,0,229,0,0,2182315642,1,1,0.8
152,:,1612262496.051,41.326,0,229,0,0,2289609983,2,25,0.9
158,:,1612262506.491,31.536,0,229,0,0,2182315642,0.5,1,0.9
155,:,1612262502.374,39.542,0,229,0,0,1395720285,2,25,0.9
153,:,1612262500.513,42.473,0,229,0,0,3543305936,0.125,25,0.95
159,:,1612262514.537,30.173,0,229,0,0,1501843923,2,1,0.95
160,:,1612262514.65,30.941,0,229,0,0,4173556719,0.5,1,0.9
156,:,1612262504.927,42.072,0,229,0,0,2182315642,1,25,0.95
161,:,1612262516.597,31.722,0,229,0,0,1953635580,1,5,0.9
162,:,1612262519.908,31.181,0,229,0,0,384799037,0.5,1,0.8
164,:,1612262525.337,30.865,0,229,0,0,4173556719,0.25,5,0.8
163,:,1612262522.719,39.201,0,229,0,0,4047805392,1,25,0.9
166,:,1612262531.564,30.476,0,229,0,0,1395720285,0.125,5,0.8
169,:,1612262536.201,29.664,0,229,0,0,4047805392,0.5,1,0.95
170,:,1612262537.38,32.247,0,229,0,0,2289609983,2,1,0.8
165,:,1612262531.273,40.611,0,229,0,0,3602412539,0.125,25,0.9
173,:,1612262542.989,29.862,0,229,0,0,4017802264,0.5,1,0.9
167,:,1612262534.3,38.838,0,229,0,0,1501843923,2,25,0.95
168,:,1612262535.888,38.157,0,229,0,0,991818103,2,25,0.95
176,:,1612262547.002,28.248,0,229,0,0,1395720285,2,1,0.8
175,:,1612262545.594,30.786,0,229,0,0,2289609983,0.125,1,0.95
177,:,1612262548.321,28.898,0,229,0,0,2034693659,2,1,0.9
174,:,1612262544.712,33.083,0,229,0,0,1111384852,1,1,0.8
171,:,1612262538.028,40.442,0,229,0,0,4173556719,0.5,25,0.8
172,:,1612262541.919,40.675,0,229,0,0,3602412539,0.5,25,0.9
179,:,1612262556.204,28.989,0,229,0,0,107577988,1,1,0.95
178,:,1612262551.091,41.553,0,229,0,0,1111384852,1,25,0.95
181,:,1612262562.042,31.315,0,229,0,0,240309497,0.125,1,0.9
182,:,1612262565.869,29.15,0,229,0,0,4047805392,0.25,1,0.9
180,:,1612262561.923,38.571,0,229,0,0,4047805392,2,25,0.8
183,:,1612262569.63,32.896,0,229,0,0,1953635580,0.125,5,0.95
185,:,1612262572.854,30.938,0,229,0,0,2390141961,0.25,5,0.9
188,:,1612262575.253,31.145,0,229,0,0,733348321,0.125,5,0.95
192,:,1612262578.472,29.755,0,229,0,0,1395720285,2,5,0.9
191,:,1612262577.797,30.625,0,229,0,0,90715284,0.25,1,0.8
184,:,1612262571.885,39.028,0,229,0,0,4047805392,0.125,25,0.9
193,:,1612262582.596,30.203,0,229,0,0,4047805392,0.5,1,0.8
186,:,1612262573.14,39.978,0,229,0,0,2289609983,0.25,25,0.8
187,:,1612262574.047,41.858,0,229,0,0,240309497,2,25,0.8
189,:,1612262576.382,40.733,0,229,0,0,90715284,0.25,25,0.9
190,:,1612262577.221,40.151,0,229,0,0,90715284,1,25,0.9
196,:,1612262593.36,30.639,0,229,0,0,107577988,0.125,1,0.9
195,:,1612262592.647,31.57,0,229,0,0,4017802264,0.5,5,0.9
194,:,1612262585.195,40.265,0,229,0,0,1395720285,0.125,25,0.95
197,:,1612262595.021,30.802,0,229,0,0,90715284,0.125,1,0.8
198,:,1612262600.497,29.964,0,229,0,0,2390141961,0.5,1,0.9
200,:,1612262603.795,31.414,0,229,0,0,4047805392,1,5,0.95
203,:,1612262608.424,29.764,0,229,0,0,1395720285,0.125,1,0.8
202,:,1612262608.229,30.498,0,229,0,0,2034693659,0.25,5,0.8
201,:,1612262606.401,32.542,0,229,0,0,1953635580,0.25,1,0.95
206,:,1612262613.122,29.654,0,229,0,0,991818103,0.5,1,0.9
199,:,1612262602.53,41.914,0,229,0,0,4173556719,0.25,25,0.9
208,:,1612262617.118,31.625,0,229,0,0,240309497,1,1,0.9
209,:,1612262617.373,31.606,0,229,0,0,1111384852,0.125,5,0.9
204,:,1612262610.915,40.679,0,229,0,0,1395720285,0.25,25,0.95
205,:,1612262612.802,39.198,0,229,0,0,1501843923,1,25,0.8
211,:,1612262624.219,30.279,0,229,0,0,240309497,2,1,0.9
212,:,1612262625.461,29.253,0,229,0,0,2390141961,0.5,1,0.8
210,:,1612262624.001,31.529,0,229,0,0,107577988,0.25,5,0.9
207,:,1612262615.906,42.404,0,229,0,0,240309497,0.5,25,0.9
214,:,1612262630.464,29.687,0,229,0,0,1395720285,0.25,1,0.8
215,:,1612262635.212,30.654,0,229,0,0,90715284,1,5,0.8
213,:,1612262625.825,40.963,0,229,0,0,3543305936,0.5,25,0.8
218,:,1612262638.945,28.976,0,229,0,0,4173556719,0.125,1,0.8
217,:,1612262638.729,31.569,0,229,0,0,3543305936,1,1,0.9
220,:,1612262644.446,29.578,0,229,0,0,2034693659,1,5,0.8
219,:,1612262642.779,32.204,0,229,0,0,4017802264,0.125,5,0.9
216,:,1612262638.191,40.171,0,229,0,0,4047805392,1,25,0.95
222,:,1612262648.981,30.072,0,229,0,0,991818103,0.125,5,0.8
221,:,1612262648.746,32.517,0,229,0,0,240309497,0.25,5,0.8
224,:,1612262652.002,30.037,0,229,0,0,733348321,0.25,1,0.95
223,:,1612262651.595,30.631,0,229,0,0,1111384852,0.125,1,0.8
226,:,1612262654.716,30.514,0,229,0,0,4173556719,1,5,0.8
227,:,1612262655.532,32.688,0,229,0,0,240309497,1,5,0.95
228,:,1612262658.311,32.171,0,229,0,0,384799037,0.125,1,0.95
225,:,1612262654.5,41.497,0,229,0,0,3543305936,0.5,25,0.9
230,:,1612262665.868,31.175,0,229,0,0,240309497,0.5,1,0.95
232,:,1612262667.924,30.083,0,229,0,0,107577988,0.25,1,0.8
231,:,1612262666.79,32.814,0,229,0,0,3543305936,1,5,0.9
229,:,1612262660.154,41.296,0,229,0,0,3543305936,1,25,0.9
236,:,1612262678.365,30.707,0,229,0,0,240309497,0.25,1,0.9
233,:,1612262670.3,39.996,0,229,0,0,1395720285,0.5,25,0.95
237,:,1612262679.056,31.808,0,229,0,0,2390141961,0.25,5,0.95
238,:,1612262681.265,30.266,0,229,0,0,2390141961,2,5,0.95
240,:,1612262682.229,31.281,0,229,0,0,2182315642,1,5,0.8
239,:,1612262682.042,31.872,0,229,0,0,2182315642,2,5,0.95
235,:,1612262674.985,40.982,0,229,0,0,107577988,0.25,25,0.95
234,:,1612262674.027,42.072,0,229,0,0,384799037,2,25,0.8
242,:,1612262688.223,30.717,0,229,0,0,3543305936,2,1,0.8
243,:,1612262690.485,29.626,0,229,0,0,90715284,1,1,0.95
241,:,1612262685.233,40.687,0,229,0,0,2289609983,0.25,25,0.95
248,:,1612262701.451,31.173,0,229,0,0,2289609983,2,5,0.95
244,:,1612262696,38.948,0,229,0,0,1395720285,2,25,0.95
245,:,1612262697.046,40.645,0,229,0,0,90715284,2,25,0.9
246,:,1612262698.01,39.786,0,229,0,0,4047805392,0.5,25,0.95
247,:,1612262699.605,40.035,0,229,0,0,2182315642,2,25,0.95
250,:,1612262710.299,30.858,0,229,0,0,4017802264,1,1,0.9
255,:,1612262715.969,30.946,0,229,0,0,1395720285,0.25,5,0.9
249,:,1612262709.074,40.629,0,229,0,0,90715284,0.125,25,0.9
251,:,1612262710.866,39.577,0,229,0,0,4173556719,2,25,0.95
252,:,1612262711.534,40.638,0,229,0,0,107577988,0.25,25,0.8
259,:,1612262725.923,29.257,0,229,0,0,1395720285,1,1,0.8
253,:,1612262713.513,41.872,0,229,0,0,384799037,1,25,0.9
254,:,1612262713.917,41.679,0,229,0,0,2289609983,1,25,0.95
256,:,1612262716.102,41.74,0,229,0,0,2182315642,1,25,0.9
257,:,1612262718.947,40.069,0,229,0,0,107577988,1,25,0.9
258,:,1612262720.113,40.571,0,229,0,0,1111384852,0.25,25,0.8
260,:,1612262732.626,29.106,0,229,0,0,991818103,2,1,0.95
261,:,1612262734.951,32.059,0,229,0,0,107577988,0.5,5,0.9
262,:,1612262737.694,32.739,0,229,0,0,240309497,2,5,0.9
263,:,1612262737.797,41.616,0,229,0,0,384799037,0.5,25,0.8
266,:,1612262746.918,32.571,0,229,0,0,1953635580,0.25,5,0.8
268,:,1612262750.445,31.095,0,229,0,0,1111384852,1,1,0.9
264,:,1612262739.642,42.483,0,229,0,0,384799037,0.125,25,0.95
265,:,1612262741.159,41.97,0,229,0,0,240309497,1,25,0.95
269,:,1612262752.174,31.707,0,229,0,0,2289609983,1,5,0.95
270,:,1612262755.182,28.907,0,229,0,0,4047805392,0.125,1,0.8
272,:,1612262755.599,30.904,0,229,0,0,2034693659,0.125,5,0.9
267,:,1612262749.705,39.174,0,229,0,0,4047805392,0.5,25,0.8
273,:,1612262757.845,31.326,0,229,0,0,3602412539,2,5,0.9
275,:,1612262760.685,31.715,0,229,0,0,90715284,0.125,5,0.95
271,:,1612262755.388,38.911,0,229,0,0,2034693659,2,25,0.9
277,:,1612262767.013,31.273,0,229,0,0,2289609983,1,5,0.8
274,:,1612262759.019,41.042,0,229,0,0,3543305936,0.25,25,0.8
278,:,1612262770.435,31.449,0,229,0,0,4047805392,0.125,5,0.95
276,:,1612262761.734,40.615,0,229,0,0,1953635580,0.125,25,0.8
281,:,1612262781.543,30.855,0,229,0,0,3390822559,0.125,5,0.95
282,:,1612262782.127,30.671,0,229,0,0,1395720285,0.125,5,0.95
284,:,1612262783.883,28.983,0,229,0,0,733348321,0.5,1,0.95
285,:,1612262784.092,29.319,0,229,0,0,4047805392,0.5,1,0.9
280,:,1612262779.491,40.807,0,229,0,0,2182315642,0.5,25,0.8
279,:,1612262779.415,40.966,0,229,0,0,3602412539,0.25,25,0.9
283,:,1612262783.131,42.096,0,229,0,0,240309497,0.125,25,0.9
290,:,1612262794.302,32.157,0,229,0,0,90715284,0.5,5,0.95
286,:,1612262786.506,41.43,0,229,0,0,1953635580,0.25,25,0.9
291,:,1612262798.289,30.526,0,229,0,0,4017802264,0.25,1,0.8
288,:,1612262789.174,40.052,0,229,0,0,2390141961,1,25,0.8
287,:,1612262788.881,42.338,0,229,0,0,384799037,0.125,25,0.9
293,:,1612262801.886,29.574,0,229,0,0,1395720285,1,1,0.9
294,:,1612262802.351,30.476,0,229,0,0,991818103,1,5,0.9
289,:,1612262792.402,41.024,0,229,0,0,3602412539,0.5,25,0.95
292,:,1612262800.064,41.341,0,229,0,0,1395720285,1,25,0.95
295,:,1612262812.401,31.736,0,229,0,0,107577988,0.25,5,0.8
296,:,1612262812.8,31.648,0,229,0,0,2182315642,1,1,0.9
298,:,1612262813.413,31.233,0,229,0,0,107577988,1,5,0.8
297,:,1612262812.868,39.359,0,229,0,0,4047805392,0.25,25,0.9
301,:,1612262825.23,29.697,0,229,0,0,1501843923,2,5,0.8
303,:,1612262827.939,31.043,0,229,0,0,240309497,1,1,0.95
