Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
137,:,1612293629.509,3.539,0,223,0,0,2182315642,0.25,5,0.9
147,:,1612293629.75,3.368,0,223,0,0,2289609983,0.25,1,0.9
141,:,1612293629.596,3.659,0,223,0,0,1501843923,0.25,5,0.9
142,:,1612293629.643,3.624,0,223,0,0,90715284,0.5,5,0.9
145,:,1612293629.7,3.575,0,223,0,0,2289609983,0.125,5,0.9
146,:,1612293629.731,3.552,0,223,0,0,4047805392,0.25,5,0.8
148,:,1612293629.756,3.542,0,223,0,0,1111384852,0.25,1,0.9
149,:,1612293629.77,3.536,0,223,0,0,2390141961,2,5,0.9
143,:,1612293629.656,3.815,0,223,0,0,733348321,1,25,0.8
144,:,1612293629.691,3.788,0,223,0,0,4017802264,0.125,25,0.8
154,:,1612293629.973,3.615,0,223,0,0,733348321,1,5,0.8
158,:,1612293630.162,3.434,0,223,0,0,90715284,1,1,0.95
150,:,1612293629.825,3.829,0,223,0,0,2390141961,2,25,0.9
151,:,1612293629.931,3.867,0,223,0,0,1395720285,1,25,0.8
153,:,1612293629.966,3.846,0,223,0,0,3543305936,0.5,25,0.9
156,:,1612293630.109,3.71,0,223,0,0,90715284,0.125,5,0.95
155,:,1612293629.998,3.83,0,223,0,0,2182315642,0.125,25,0.9
157,:,1612293630.122,3.713,0,223,0,0,991818103,2,5,0.9
152,:,1612293629.944,3.907,0,223,0,0,733348321,0.5,25,0.8
159,:,1612293630.202,3.8,0,223,0,0,1111384852,2,25,0.8
160,:,1612293631.796,4.038,0,223,0,0,2182315642,0.125,5,0.95
162,:,1612293632.503,3.483,0,223,0,0,1501843923,1,5,0.9
163,:,1612293632.753,3.421,0,223,0,0,4173556719,0.5,1,0.8
161,:,1612293632.415,3.867,0,223,0,0,107577988,2,25,0.95
165,:,1612293632.906,3.569,0,223,0,0,4017802264,0.5,1,0.95
169,:,1612293633.023,3.466,0,223,0,0,1111384852,2,1,0.8
167,:,1612293632.951,3.562,0,223,0,0,2390141961,0.125,1,0.8
168,:,1612293632.984,3.538,0,223,0,0,1501843923,0.5,1,0.95
172,:,1612293633.082,3.46,0,223,0,0,2034693659,0.25,1,0.8
166,:,1612293632.92,3.676,0,223,0,0,107577988,0.5,5,0.8
170,:,1612293633.033,3.569,0,223,0,0,1111384852,0.125,5,0.8
173,:,1612293633.151,3.464,0,223,0,0,2182315642,0.25,1,0.95
164,:,1612293632.781,3.898,0,223,0,0,240309497,2,25,0.8
177,:,1612293633.298,3.472,0,223,0,0,1111384852,0.5,1,0.95
178,:,1612293633.306,3.506,0,223,0,0,733348321,0.5,1,0.8
174,:,1612293633.266,3.611,0,223,0,0,107577988,2,5,0.95
171,:,1612293633.048,3.847,0,223,0,0,1501843923,0.25,25,0.9
175,:,1612293633.275,3.636,0,223,0,0,3390822559,0.5,5,0.95
179,:,1612293633.337,3.583,0,223,0,0,991818103,2,5,0.95
182,:,1612293633.596,3.455,0,223,0,0,240309497,0.25,1,0.8
183,:,1612293633.631,3.457,0,223,0,0,107577988,2,1,0.95
184,:,1612293633.705,3.401,0,223,0,0,4017802264,1,1,0.95
176,:,1612293633.283,3.875,0,223,0,0,2034693659,0.5,25,0.9
185,:,1612293633.812,3.511,0,223,0,0,1501843923,1,1,0.8
189,:,1612293633.852,3.483,0,223,0,0,90715284,0.5,1,0.9
181,:,1612293633.489,3.857,0,223,0,0,384799037,1,25,0.9
190,:,1612293633.887,3.47,0,223,0,0,1501843923,0.5,1,0.8
188,:,1612293633.835,3.559,0,223,0,0,3602412539,0.25,5,0.8
180,:,1612293633.479,4.049,0,223,0,0,3390822559,0.25,25,0.9
191,:,1612293634.036,3.516,0,223,0,0,3390822559,1,1,0.9
186,:,1612293633.819,3.759,0,223,0,0,1501843923,0.5,25,0.95
187,:,1612293633.828,3.763,0,223,0,0,90715284,0.5,5,0.95
193,:,1612293636.009,3.496,0,223,0,0,2289609983,0.5,1,0.8
195,:,1612293636.301,3.472,0,223,0,0,1395720285,2,1,0.95
192,:,1612293635.874,4.093,0,223,0,0,3602412539,0.5,5,0.9
197,:,1612293636.514,3.537,0,223,0,0,1395720285,2,1,0.8
194,:,1612293636.191,3.927,0,223,0,0,1953635580,0.5,25,0.95
203,:,1612293636.678,3.447,0,223,0,0,1501843923,2,1,0.8
198,:,1612293636.521,3.641,0,223,0,0,2182315642,2,1,0.8
