timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,1951.3998869552408,1249.9031660575467,623.812441711901,1396.925154385603
10,402.5055557890984,269.61470582478546,574.2938848639369,634.4332555825699
20,365.0196733370671,154.74390147416221,584.0154092946709,604.1685802299446
30,348.529830152669,161.6828990103463,567.7926296811886,590.3641504636515
40,339.12866428784235,141.30639345343454,564.9435081997362,582.3475459618958
50,335.56614178782894,140.94844992586937,561.8715834168191,579.2807106989054
60,329.80353136004,146.1281701792139,555.3828312435618,574.2852351924433
70,326.11540689033507,134.4428265188609,555.0139937766926,571.0651511783354
80,322.6166185157553,137.02868481824243,551.2166162705348,567.9935021774063
90,322.52860323980235,139.30578299164128,550.5656201261463,567.9160177700593
100,320.7854120535351,140.77006911692544,548.6065982964031,566.3792122364089
110,318.89293642029514,134.41118369874107,548.4765903090108,564.706061965245
120,316.06249895526327,139.72429860937632,544.5545145652372,562.194360479775
130,315.6303448300641,131.8246322940439,546.1250874576302,561.8098831722917
140,313.55749835189744,132.42500860075754,544.0782254869118,559.9620508140684
150,312.3679155062369,121.64808280434787,545.4994587130803,558.8988419260116
160,308.7632393385989,130.48315447752205,540.1271940350662,555.6646824647028
170,306.87954740365774,133.57621027148426,537.6215615590263,553.9670995678874
180,307.39058547980795,124.68804403062765,540.2253947711309,554.4281607925484
190,306.11854413208437,128.10271392521122,538.2455190868567,553.2798063657161
200,305.21103866112196,124.95113745822336,538.1433376982551,552.4590832461007
210,304.12068528424066,128.4015524208584,536.3149509571351,551.4713821081205
220,302.268883419027,125.90288317473643,535.1797337598983,549.7898538705739
230,301.1766212900132,129.78817404312875,533.227579152245,548.7956097583263
240,299.40980126097367,125.00124606754821,532.7142665092929,547.1835169858223
250,298.6666094579515,125.57110789608191,531.8820417345393,546.5039885105612
260,298.92692952061543,130.0594989685021,531.0475084666884,546.7421051287484
270,298.4088430014853,118.98395159542677,533.1525694060026,546.2681054221317
280,297.323132524429,127.34446192053,530.1947949033447,545.2734474778953
290,296.8354219070521,117.36056856948461,532.035636825297,544.8260473830634
300,295.9171590394912,123.69614451598613,529.7324068540374,543.9826826650745
