timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,103.04883479927973,112.06471639802797,3.6684034867611692,112.12474234312481
10,85.64168935280772,99.23478403390925,24.51007423052652,102.21685820373536
20,70.52329748461985,86.96220395244106,32.27099900619222,92.75689889772954
30,60.97136811250435,78.86594725234565,34.90944390441878,86.24677912667539
40,55.351246796496,73.62444505759278,36.50059176416203,82.17573917630746
50,48.79979419739041,67.49567349033919,37.388620624023545,77.15941220668823
60,46.132429472437,64.32138768508949,38.612374724972994,75.02103968645939
70,43.45528954684424,61.20722755523863,39.436285571998724,72.81171145300046
80,41.261662359053595,58.95727343387503,39.47103643239981,70.95014311334782
90,38.89791192348706,56.52688284013879,39.37330023051971,68.88791806017525
100,37.115036056641486,54.23455174877941,39.832747777666945,67.29067096492842
110,34.36230783986686,51.14140826914418,39.70841115824794,64.74721273123467
120,33.119794569378435,49.57334500758227,39.78816912379087,63.56583152499595
130,32.12814279197372,48.075717665545326,40.10434878617989,62.60697581436747
140,30.902967977994294,46.783408799560526,39.767760238772645,61.40164568898218
150,29.779736758319196,45.30910644596305,39.751889987563246,60.27543350748248
160,29.438923352947427,44.66038110995219,39.96246999590255,59.92953069280274
170,28.53858343942468,43.31886985755266,40.06473129666823,59.00599274319356
180,27.156266816268058,41.455741172634035,39.931016458541066,57.55922646791479
190,26.29485349196303,40.36148176165704,39.735663024830934,56.638962967373345
200,25.65525810372983,39.16272198653448,39.95275579056404,55.94587999714581
210,25.225069957903916,38.423719954924735,40.01345123442612,55.47484596521452
220,24.63630559461624,37.21727829226245,40.255477628013196,54.8236197504614
230,24.203557737643365,36.51551525290945,40.24240536805707,54.33998568266733
240,23.78328475855885,35.64793186562461,40.38298768352789,53.866137234297575
250,23.358684227049668,34.925145113333336,40.373180634087625,53.383138496158686
260,22.974106756133814,34.29796016999484,40.32977749040741,52.94186457094541
270,22.17271344072602,33.5169470162579,39.77040737128469,52.01029743972413
280,22.004358171091432,33.059382263665526,39.8949738841623,51.812466616376746
290,21.038524695904965,32.04545928172228,39.2401395553569,50.66260961399842
300,20.82310094347543,31.574977434026913,39.28662768862574,50.40256258469407
