timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,2309.775621162164,1369.383307235553,659.2154268725701,1519.7945983461593
10,1090120479181.4866,28655271.185764823,16401094.855276048,33016972.592614945
20,1.0558860898584911e+29,8770022156299002.0,5354934207240436.0,1.027563180470423e+16
30,2.496175653004125e+47,1.461315175364923e+25,6.006110315772681e+24,1.5799290025200895e+25
40,1.767845714820655e+69,1.313399405868067e+36,2.0694858174450385e+35,1.3296035931136222e+36
50,5.560864392124519e+91,2.3113504845114087e+47,4.674647899825113e+46,2.3581485093446765e+47
60,1.569183598568915e+115,1.2332380627313736e+59,2.1978962486770167e+58,1.25267058661442e+59
70,1.535885473923548e+139,1.2249743179679872e+71,1.8794518946334673e+70,1.2393084660097936e+71
80,7.804670980705406e+162,8.768128037940966e+82,1.0801113448749172e+82,8.83440489263731e+82
90,3.109287884972557e+186,5.496767741455698e+94,9.372423625816367e+93,5.576098891673781e+94
100,8.766078330677353e+209,2.9232410590865195e+106,4.698298001915964e+105,2.960756378136734e+106
110,1.1946518445255226e+233,1.081521670886423e+118,1.5799594908908703e+117,1.0930013012460336e+118
120,4.452049219761311e+256,6.598362026206453e+129,9.910150194269438e+128,6.672367810426303e+129
130,2.3018753462018863e+280,4.7615229633343876e+141,5.887720540737029e+140,4.7977863084988335e+141
140,2.8270584099533386e+304,inf,6.139791664585927e+152,5.317008942961577e+153
150,,,,
160,,,,
170,,,,
180,,,,
190,,,,
200,,,,
210,,,,
220,,,,
230,,,,
240,,,,
250,,,,
260,,,,
270,,,,
280,,,,
290,,,,
300,,,,
