timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,279.1590991507034,54.49650538208987,10.043952996583887,55.414349140432364
10,5.678261561664636e+22,632177288327.2996,474300166462.3915,790321941858.5757
20,5.383626035053535e+48,7.683212936542073e+24,4.337342012586069e+23,7.69544582110672e+24
30,4.073967278392907e+71,2.1147026150920398e+36,9.693738161867852e+34,2.1169232405149217e+36
40,7.918778034069772e+89,2.948381025995502e+45,1.330607493833651e+44,2.9513820216089866e+45
50,1.5451831036313508e+108,4.1187025402976216e+54,1.8249253269865829e+53,4.1227435209996825e+54
60,2.421993615766611e+127,1.6246294120895857e+64,1.5739202875851072e+63,1.632235576546251e+64
70,1.2220290642484163e+149,1.1018349306608259e+75,3.608209476304158e+74,1.1594101822363206e+75
80,1.0742603914652429e+170,3.106508611244263e+85,1.4718928474528676e+85,3.437566625698718e+85
90,9.552687844163796e+190,9.261712467022974e+95,4.3932048056052424e+95,1.0250832467941409e+96
100,1.744351287914969e+212,3.957699205116718e+106,1.8773601596079406e+106,4.380395435010938e+106
110,1.4958321427327051e+233,1.1589399014979921e+117,5.497941994253853e+116,1.282737446637454e+117
120,2.7539038800174955e+254,5.4964967696543e+127,2.8542239115440115e+126,5.503902495520106e+127
130,9.373652230867698e+276,1.0140474716958861e+139,5.300443889550569e+137,1.0154318024345341e+139
140,4.561428008256518e+299,2.236940641419364e+150,1.1690755257251044e+149,2.2399934841606504e+150
150,,,,
160,,,,
170,,,,
180,,,,
190,,,,
200,,,,
210,,,,
220,,,,
230,,,,
240,,,,
250,,,,
260,,,,
270,,,,
280,,,,
290,,,,
300,,,,
