Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,SEED,LEARNING_RATE,BATCH_SIZE,MDP_MODULE_DISCOUNT
88,:,1612282312.151,5.391,0,227,0,0,1953635580,0.5,5,0.9
80,:,1612282311.872,5.679,0,227,0,0,384799037,0.0625,25,0.95
89,:,1612282312.167,5.448,0,227,0,0,2034693659,0.25,5,0.95
83,:,1612282311.955,5.71,0,227,0,0,4017802264,0.5,25,0.9
86,:,1612282312.083,5.605,0,227,0,0,2390141961,2,5,0.8
95,:,1612282312.278,5.448,0,227,0,0,1111384852,0.5,5,0.9
87,:,1612282312.115,5.711,0,227,0,0,733348321,0.25,25,0.8
90,:,1612282312.182,5.66,0,227,0,0,1111384852,1,25,0.9
91,:,1612282312.213,5.651,0,227,0,0,4047805392,0.5,25,0.9
92,:,1612282312.225,5.662,0,227,0,0,733348321,0.5,25,0.8
93,:,1612282312.246,5.648,0,227,0,0,991818103,2,25,0.95
94,:,1612282312.253,5.677,0,227,0,0,733348321,2,25,0.95
96,:,1612282312.403,5.567,0,227,0,0,1395720285,0.25,5,0.95
98,:,1612282316.867,5.27,0,227,0,0,4017802264,0.5,1,0.8
100,:,1612282316.989,5.204,0,228,0,0,3602412539,1,1,0.95
99,:,1612282316.958,5.304,0,227,0,0,240309497,0.5,1,0.9
105,:,1612282317.203,5.294,0,228,0,0,3390822559,0.5,1,0.8
112,:,1612282317.302,5.215,0,228,0,0,3543305936,0.0625,1,0.8
97,:,1612282316.809,5.787,0,227,0,0,3543305936,0.5,25,0.95
103,:,1612282317.129,5.476,0,228,0,0,3390822559,0.125,5,0.8
110,:,1612282317.264,5.363,0,228,0,0,3543305936,0.25,5,0.95
106,:,1612282317.23,5.427,0,228,0,0,3390822559,1,5,0.9
111,:,1612282317.27,5.398,0,228,0,0,107577988,0.5,5,0.9
101,:,1612282317.079,5.673,0,228,0,0,240309497,0.25,25,0.8
115,:,1612282317.499,5.261,0,228,0,0,733348321,0.0625,1,0.8
102,:,1612282317.112,5.759,0,228,0,0,107577988,0.0625,25,0.9
107,:,1612282317.238,5.644,0,228,0,0,384799037,0.5,25,0.8
116,:,1612282317.551,5.338,0,228,0,0,3543305936,0.25,1,0.9
109,:,1612282317.257,5.677,0,228,0,0,90715284,0.125,25,0.8
117,:,1612282317.567,5.397,0,228,0,0,107577988,0.125,5,0.95
108,:,1612282317.25,5.749,0,228,0,0,991818103,0.5,25,0.9
113,:,1612282317.311,5.738,0,228,0,0,2390141961,0.5,25,0.8
118,:,1612282317.664,5.428,0,228,0,0,240309497,0.25,5,0.95
104,:,1612282317.192,5.94,0,228,0,0,3602412539,0.125,25,0.9
114,:,1612282317.38,5.773,0,228,0,0,2289609983,1,25,0.8
119,:,1612282317.689,5.493,0,228,0,0,991818103,1,5,0.9
124,:,1612282317.886,5.305,0,228,0,0,3390822559,2,1,0.9
125,:,1612282317.893,5.311,0,228,0,0,3543305936,0.125,1,0.8
121,:,1612282317.77,5.44,0,228,0,0,1111384852,2,5,0.95
123,:,1612282317.864,5.369,0,228,0,0,4173556719,0.125,5,0.9
126,:,1612282317.93,5.391,0,228,0,0,4017802264,0.0625,5,0.8
127,:,1612282317.97,5.425,0,228,0,0,1501843923,0.25,5,0.9
122,:,1612282317.841,5.723,0,228,0,0,4047805392,1,25,0.9
128,:,1612282318.03,5.773,0,228,0,0,2289609983,0.5,25,0.8
120,:,1612282317.726,6.164,0,228,0,0,1395720285,0.125,25,0.9
130,:,1612282322.208,5.291,0,228,0,0,3543305936,0.0625,1,0.9
129,:,1612282322.172,5.397,0,228,0,0,3602412539,0.25,5,0.8
131,:,1612282322.269,5.421,0,228,0,0,3543305936,0.5,5,0.8
134,:,1612282322.605,5.231,0,228,0,0,2034693659,0.125,1,0.9
133,:,1612282322.528,5.437,0,228,0,0,4047805392,0.0625,5,0.9
136,:,1612282322.657,5.317,0,228,0,0,107577988,1,1,0.8
137,:,1612282322.668,5.375,0,228,0,0,2390141961,2,5,0.95
140,:,1612282322.83,5.225,0,228,0,0,2182315642,2,1,0.95
142,:,1612282322.89,5.258,0,228,0,0,2182315642,0.0625,1,0.9
132,:,1612282322.517,5.713,0,228,0,0,991818103,0.0625,25,0.8
139,:,1612282322.76,5.486,0,228,0,0,3602412539,0.5,5,0.95
141,:,1612282322.881,5.371,0,228,0,0,90715284,1,5,0.9
144,:,1612282322.963,5.297,0,228,0,0,1111384852,0.5,1,0.8
135,:,1612282322.626,5.672,0,228,0,0,4017802264,2,25,0.9
138,:,1612282322.695,5.712,0,228,0,0,107577988,0.0625,25,0.8
148,:,1612282323.132,5.291,0,228,0,0,2289609983,0.0625,1,0.9
149,:,1612282323.152,5.299,0,228,0,0,90715284,0.5,1,0.9
150,:,1612282323.182,5.284,0,228,0,0,240309497,0.5,1,0.8
143,:,1612282322.935,5.673,0,228,0,0,2289609983,1,25,0.9
145,:,1612282322.998,5.772,0,228,0,0,3390822559,1,25,0.9
146,:,1612282323.049,5.739,0,228,0,0,3602412539,2,25,0.8
147,:,1612282323.092,5.717,0,228,0,0,733348321,0.25,25,0.95
154,:,1612282323.234,5.611,0,228,0,0,4173556719,2,5,0.9
151,:,1612282323.19,5.711,0,228,0,0,3543305936,0.0625,25,0.8
153,:,1612282323.21,5.698,0,228,0,0,4173556719,0.25,25,0.95
152,:,1612282323.203,5.713,0,228,0,0,1953635580,1,25,0.9
155,:,1612282323.244,5.696,0,228,0,0,733348321,0.125,25,0.8
156,:,1612282323.395,5.664,0,228,0,0,107577988,0.5,25,0.9
157,:,1612282323.47,5.81,0,228,0,0,4047805392,0.125,25,0.95
159,:,1612282323.81,5.476,0,228,0,0,3543305936,0.25,5,0.9
158,:,1612282323.597,5.776,0,228,0,0,2182315642,0.5,25,0.8
160,:,1612282323.909,6.073,0,228,0,0,90715284,0.5,25,0.9
