timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,69.57005553927766,92.06534618286028,3.393936950205938,92.12788272717373
10,47.14885676666682,75.46264687144402,7.586135556994444,75.84299918603794
20,28.852729815628678,58.236469893834396,11.33783982120126,59.32986631964291
30,21.857632844069137,49.7680440177347,13.77581219475851,51.63943461131652
40,16.047081717543996,41.51777670058711,15.297653002358052,44.2464006393782
50,13.047980511624269,36.66758244660483,15.727110985161858,39.89804033305597
60,10.760369907803955,32.50269206143228,16.010625768900802,36.232100805115934
70,9.482971002307654,30.10954822292436,15.82205954017766,34.01356291660039
80,8.245358374536426,27.517805439273893,15.77035527499977,31.716458214836095
90,7.43260883324895,25.774342926580243,15.571176075024486,30.112759382965418
100,6.875057278093018,24.54231162386792,15.376343131066825,28.96130155789529
110,6.163073553522662,22.876334945664617,15.118474558748604,27.4207033740888
120,5.848520208390979,22.27381581933402,14.74437500439015,26.711785141088928
130,5.23138176027005,20.623754373834164,14.590727544598405,25.26318615600467
140,4.733019857093601,19.276465986961487,14.347344061495708,24.029740376571265
150,4.339192407146319,18.159877441869195,14.127997910820245,23.00829141139887
160,3.952303905790435,16.941801344506437,13.969840504089978,21.95862191728873
170,3.771447356732517,16.496030468495114,13.71122008808289,21.45032814484121
180,3.597172685163008,15.96044386298476,13.569056683734463,20.94886793098584
190,3.4885031263202833,15.642435138779543,13.45033844704845,20.630011667739662
200,3.242797488006945,14.735920508771041,13.359413920379453,19.890231108180902
210,3.0141792370362364,13.894263989439475,13.216629491295668,19.176283970530392
220,2.7950117788893554,13.036678253836003,13.078090729554557,18.465953455603135
230,2.7011496006756497,12.741926390412157,12.929948303985885,18.15324354715788
240,2.594238825421111,12.334603265828594,12.82008966333645,17.79036640154934
250,2.5090508620186824,12.015757789796922,12.7171447229012,17.49583393743434
260,2.376052007854435,11.46535480323177,12.586658976640754,17.02581407622675
270,2.3371853225476666,11.345546438844151,12.506605668799436,16.88598855118691
280,2.243278421188582,10.943715644968544,12.406250653081203,16.543275594180464
290,2.187485336168674,10.74767224816773,12.30287577188941,16.33625449766801
300,2.0483642049633155,10.017288774495226,12.229241947639128,15.808239402461126
