timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,112.37293704390127,33.689309316636795,10.056477775587377,35.158246649725214
10,7.353385306415681e+21,255307778257.08353,125320296568.45038,284406818431.92944
20,9.255111965174356e+49,2.1847333693467947e+25,2.3254167941584995e+25,3.1907088807491966e+25
30,6.715066181305849e+75,2.1878314177525154e+38,1.6124411576648164e+38,2.7178250126592834e+38
40,1.1041620302610952e+100,3.260580227057696e+50,1.2306091645166753e+50,3.485079960757292e+50
50,8.853089382355023e+130,8.922178677358472e+65,4.216480861476197e+65,9.868332341682926e+65
60,6.271364704484116e+160,7.509401438737817e+80,3.5487887766402323e+80,8.305721627247405e+80
70,5.935219222947719e+191,2.3101675349235214e+96,1.091726662598229e+96,2.5551401419966167e+96
80,4.042864405552493e+222,6.029333716987154e+111,2.849323321471133e+111,6.668696159001205e+111
90,3.1620924156706172e+252,3.975072972393232e+126,4.356812072665704e+126,5.897712825526248e+126
100,9.316651916343196e+279,2.157623459352668e+140,2.3649478039966426e+140,3.2012992843496395e+140
110,4.66073256478954e+306,inf,5.289543250140374e+153,7.16017166083921e+153
120,,,,
130,,,,
140,,,,
150,,,,
160,,,,
170,,,,
180,,,,
190,,,,
200,,,,
210,,,,
220,,,,
230,,,,
240,,,,
250,,,,
260,,,,
270,,,,
280,,,,
290,,,,
300,,,,
