timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,256.9950943721825,52.21278868400582,10.038462827214188,53.16903269849854
10,1.6194233254031104e+19,10611500913.41398,8095221686.832078,13346781102.361053
20,7.095098376851674e+47,2.2256777534262054e+24,1.6884806046977623e+24,2.7936728896806874e+24
30,2.7627098386978008e+73,1.73759760960214e+37,1.4048263121293875e+36,1.74326728374268e+37
40,4.846913038905567e+104,7.278585403835026e+52,5.815822788229949e+51,7.301783578548548e+52
50,1.4712818834277049e+136,4.0102553759755055e+68,3.1930007385578317e+67,4.0229467704289544e+68
60,7.780379526238714e+167,2.916070512220267e+84,2.344146894330906e+83,2.9254773078700483e+84
70,1.4216413040491608e+199,1.2465037155392134e+100,1.0016946441412362e+99,1.250522064760985e+100
80,2.6710627723132886e+224,5.413308727717728e+112,2.7888907088885115e+111,5.420488031113635e+112
90,1.6558428867264847e+247,1.3478307029073032e+124,6.91344465482873e+122,1.3496025990635663e+124
100,7.735159463829254e+269,2.913190554531615e+135,1.4831117017931284e+134,2.916963388562184e+135
110,4.918222550145927e+292,7.3458546233567725e+146,3.726498411553988e+145,7.355300677171885e+146
120,,,,
130,,,,
140,,,,
150,,,,
160,,,,
170,,,,
180,,,,
190,,,,
200,,,,
210,,,,
220,,,,
230,,,,
240,,,,
250,,,,
260,,,,
270,,,,
280,,,,
290,,,,
300,,,,
