timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,210.68816002895875,407.2959289987315,211.65582026020235,459.0077995295491
10,121.64748735641544,303.5786740895286,171.7191777130883,348.7799985039501
20,80.0417089592932,232.33261735673537,161.44120871531535,282.9164345867755
30,57.75401992522279,178.00616326422562,161.45533675036162,240.32066062913273
40,47.01936925707393,142.45243599649427,163.48294325628788,216.83950114560292
50,40.418810154354006,113.41192999422272,166.00163941762608,201.04429898496005
60,36.467563793899494,96.01935431815384,165.06921999641335,190.96482344636013
70,33.19212099390335,80.74264810303711,163.3179285051475,182.1870494681314
80,31.195960681427906,67.84687801166632,163.0728727455857,176.62378288732214
90,29.680011208959478,61.067803099192545,161.0923171153663,172.2788762703062
100,28.541285427235294,54.792485986956116,159.80947689860108,168.94166279291588
110,27.355957157530415,48.39750778096385,158.15700552970128,165.39636379778852
120,26.452865895083946,43.53968639638078,156.70724808887672,162.64337027706952
130,25.321421702631326,38.90272929535989,154.2984100890326,159.1270615031627
140,24.10347409726866,33.769812441921225,151.53571811591524,155.2529358732667
150,23.558374229004222,29.463381936048034,150.63294245912735,153.48737481957343
160,22.92897541435939,27.146556482338326,148.96992946736128,151.42316670298302
170,22.439738105513506,24.92654023012733,147.71054700890298,149.79899233811122
180,22.053253384542376,20.142545012440458,147.13100035330484,148.5033783607039
190,21.57566495315303,19.152139987197177,145.63262164454719,146.88657172510028
200,21.07164655762126,17.31010083204172,144.12496996289647,145.160761081021
210,20.772398915912508,16.166462671342092,143.21677415934425,144.12632971082178
220,20.5022535887974,16.16353802814816,142.27084601987158,143.1860802899409
230,20.139979267381943,15.861388296835303,141.026223195117,141.9153947511754
240,19.614989510097423,13.79041304014749,139.372931440361,140.05352373324072
250,19.321214690357266,13.057505527192298,138.3861128862452,139.00077226532687
260,18.89420878941959,12.703925334967881,136.8678891139304,137.45620680572992
270,18.61780896939044,10.998357951483218,136.00310691951668,136.44709219836983
280,18.35168932925838,10.642359452283841,135.04972978331634,135.46840712600994
290,18.186584252485968,8.838321787631179,134.56770905556894,134.85764439766092
300,18.035288194207233,9.358786395183444,133.96903116547705,134.29552559265417
