timestep,mse,res_ones_norm,res_ortho_norm,residual_norm
0,105.62606682657308,113.46258856572751,3.5526256214755145,113.51819304781905
10,94408.83920557836,382.93318530481395,3372.1270080874574,3393.799991614202
20,359800062.11823547,12433.26960082392,209143.54253827193,209512.78619316942
30,4820991349050.697,2579419.671095142,24114467.41573515,24252029.700299002
40,2.3430334027156796e+16,114953198.44201466,1686797709.7094603,1690710132.2560081
50,2.7464265255742317e+19,2747294273.1653576,57819484046.272804,57884716127.8395
60,5.465285439488955e+23,720856643292.762,8133686007068.746,8165566873265.153
70,2.6714322934406003e+27,48794834240249.69,568800319928900.6,570889428698546.9
80,1.3065037096719818e+31,3448268107013043.0,3.977491637781247e+16,3.992410958055067e+16
90,5.443973160314379e+36,2.333048205214113e+18,2.5665572497618313e+19,2.5771393550957896e+19
100,1.5685733888708737e+39,3.960597339070916e+19,4.3565734277528374e+20,4.374539443670003e+20
110,2.273229168141012e+42,1.5079831232221253e+21,1.6584931275506713e+22,1.6653346766136933e+22
120,3.2944576281321914e+45,5.756402499774267e+22,6.313558534283073e+23,6.339746293284357e+23
130,1.6711801695932708e+52,1.2926754277882002e+26,1.4220160720919147e+27,1.4278794791241276e+27
140,2.421930337977961e+55,4.921216110316314e+27,5.413443122753463e+28,5.435765826756256e+28
150,2.0106634133772045e+60,1.4179787962753374e+30,1.559776498621942e+31,1.5662085954048999e+31
160,9.833829474325398e+63,9.917150962056447e+31,1.0908218037549835e+33,1.0953205904518085e+33
170,6.970185619733509e+70,2.6402598493174737e+35,2.904120647520641e+36,2.91609781318715e+36
180,3.438110372309448e+80,1.8542141932641964e+40,2.0396356418420675e+41,2.0480465459108897e+41
190,4.2540455081439196e+85,6.522304429211843e+42,7.174534873333786e+43,7.204120709660258e+43
200,2.080584830377216e+89,4.561342818033179e+44,5.017477099854647e+45,5.038167814851152e+45
210,3.531667914475501e+90,1.8792732409192625e+45,2.067200565141119e+46,2.0757251397186745e+46
220,2.931956941753e+95,5.414754788328837e+47,5.956230267141227e+48,5.980792145643134e+48
230,2.956989375126574e+101,5.437820680315313e+50,5.98160274834693e+51,6.006269256081033e+51
240,2.956989375126574e+101,5.437820680304051e+50,5.9816027483470356e+51,6.006269256081033e+51
250,4.2853681604592233e+104,2.070113079154077e+52,2.277124387062641e+53,2.2865146305589764e+53
260,7.274155330289906e+105,8.528865885990468e+52,9.38175247469921e+53,9.420440277902984e+53
270,1.23474422238473e+107,3.5138927442360764e+53,3.865282019583274e+54,3.88122139449603e+54
280,6.038934218196589e+110,2.4574243056128064e+55,2.7031667362598394e+56,2.714313862875817e+56
290,1.7399996583912257e+113,4.171330313972448e+56,4.588463344790964e+57,4.607384923399927e+57
300,1.05296703772734e+122,1.0261418214489128e+61,1.1287560035942626e+62,1.1334106872741914e+62
